City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Rikitea,PF,70.84,overcast clouds,-23.1203,-134.9692,People ThankYou
4,Avarua,CK,71.65,overcast clouds,-21.2078,-159.775,Paradise Inn
9,Kabwe,ZM,84.2,clear sky,-14.4469,28.4464,Tuskers
11,Castelo Branco,PT,80.01,clear sky,39.8222,-7.4909,MELIÃ Castelo Branco
13,Kipushi,CD,85.55,clear sky,-11.7667,27.2333,Villa Madimba
14,Hilo,US,76.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
15,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
17,Cecina,IT,86.29,scattered clouds,43.3128,10.524,Hotel Tornese
19,Sungairaya,ID,75.79,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
21,Ojhar,IN,74.98,light rain,20.1,73.9333,Aurangabad Deogaon Rangari
22,Keti Bandar,PK,81.64,scattered clouds,24.1447,67.4497,Haji laloo memon house
24,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
28,Sinazongwe,ZM,82.22,clear sky,-17.2614,27.4618,Lakeview Lodge
29,Celestun,MX,82.72,overcast clouds,20.8667,-90.4,Posada Lilia
37,Axim,GH,79.75,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
39,Victoria,HK,90.32,broken clouds,22.2855,114.1577,Mini Central
40,Lorengau,PG,81.79,clear sky,-2.0226,147.2712,Lorengau Harbourside Hotel
42,Buala,SB,78.93,light rain,-8.145,159.5921,Maringe Lagoon Lodge
43,Lagoa,PT,71.2,clear sky,39.05,-27.9833,Casa Das Faias
44,San Quintin,MX,77.41,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
53,Buritizeiro,BR,92.43,clear sky,-17.3511,-44.9622,Santos Palace Hotel
56,Jamestown,US,74.01,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
59,Cabra,ES,87.66,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
62,Sabirabad,AZ,92.86,clear sky,40.0095,48.4752,Mugan Park Hotel
63,Neiba,DO,88.38,clear sky,18.5,-71.4167,Ángel David Cuevas Mendez
65,Pringsewu,ID,75.04,overcast clouds,-5.3582,104.9744,Urban Style by Front One
67,Palmer,US,77.95,broken clouds,42.1584,-72.3287,Wedgewood Motel
68,Manjeshwar,IN,81.55,light rain,12.7194,74.8861,Mangalore Beach House - EWA Ikigai
70,Vilhena,BR,77.22,smoke,-12.7406,-60.1458,Hotel Mirage
72,Fort Oglethorpe,US,74.91,mist,34.949,-85.2569,Super 8 by Wyndham Ft. Oglethorpe GA/Chatt TN Area
74,Kokopo,PG,76.86,clear sky,-4.352,152.2633,Kokopo Beach Bungalow Resort
75,Tezu,IN,74.23,overcast clouds,27.9167,96.1667,Circuit House
79,Murgab,TM,94.87,clear sky,37.4966,61.9714,Wepa Nurlyýew
83,Roxana,CR,88.03,scattered clouds,10.2753,-83.7513,3BYES1
85,Saint-Pierre,RE,71.91,few clouds,-21.3393,55.4781,Alize Plage
87,Ribeira Grande,PT,77.4,few clouds,38.5167,-28.7,Quinta da Meia Eira
88,Kitgum,UG,73.85,light rain,3.2783,32.8867,Jaflo Gardens Hotel
89,Mfou,CM,74.89,light rain,3.7159,11.6427,Maison Du Juge Noah
93,Hamilton,US,73.76,mist,39.1834,-84.5333,Six Acres Bed & Breakfast
95,Saint-Philippe,RE,71.22,light rain,-21.3585,55.7679,Le four à pain
96,Brits,ZA,85.73,scattered clouds,-25.6347,27.7802,By Die Vlei
97,Freeport,US,81.48,few clouds,40.6576,-73.5832,The Freeport Inn and Marina
98,Littleton,US,80.89,clear sky,39.6133,-105.0166,InTown Suites Extended Stay Denver CO - Englewood
100,Banda Aceh,ID,79.14,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
101,Ponta Do Sol,PT,79.72,broken clouds,32.6667,-17.1,Hotel do Campo
103,Guerrero Negro,MX,80.37,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
110,Katsuura,JP,77.77,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
111,Bektemir,UZ,87.85,clear sky,41.2097,69.3342,Grace Garden
114,Kapaa,US,77.32,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
116,Thanh Hoa,VN,77.99,broken clouds,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
119,Puerto Ayora,EC,71.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
120,Isangel,VU,76.78,light rain,-19.55,169.2667,Tanna Lodge
123,Gondanglegi,ID,75.78,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
124,Hobyo,SO,76.95,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
127,Nishihara,JP,84.25,moderate rain,26.1842,127.7558,Minshuku Agaihama
128,Seoul,KR,74.59,light rain,37.5683,126.9778,LOTTE HOTEL SEOUL
129,Port Elizabeth,ZA,72.1,clear sky,-33.918,25.5701,39 On Nile Guest House
130,Acapulco,MX,80.42,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
131,Dickinson,US,77.99,broken clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
133,Kishapu,TZ,87.53,clear sky,-3.6167,33.8667,Stage 2
134,Faanui,PF,77.7,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
135,Sao Joao Dos Patos,BR,94.1,few clouds,-6.495,-43.7022,Junior Esportes Magazine
136,Pecos,US,72.86,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos Northeast
138,Hithadhoo,MV,81.59,overcast clouds,-0.6,73.0833,Scoop Guest House
141,Kununurra,AU,71.58,clear sky,-15.7667,128.7333,Hotel Kununurra
143,Butaritari,KI,82.29,broken clouds,3.0707,172.7902,Isles Sunset Lodge
148,Aloleng,PH,80.96,light rain,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
149,Uaua,BR,79.97,broken clouds,-9.8414,-39.4817,Hotel Uauá
152,Georgetown,MY,82.35,few clouds,5.4112,100.3354,Cititel Penang
154,Itirucu,BR,81.86,scattered clouds,-13.5317,-40.1503,Wil palace hotel
155,Grand Gaube,MU,72.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
156,East London,ZA,74.34,clear sky,-33.0153,27.9116,Tu Casa
160,Harindanga,IN,85.8,broken clouds,22.0383,88.3214,Hasanur Builders
162,Gambela,ET,77.95,light rain,8.25,34.5833,Solomon Debebe Hotel
164,Atuona,PF,76.5,clear sky,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
166,Rusape,ZW,76.75,clear sky,-18.5278,32.1284,Surrey Lodge
172,Touros,BR,81.12,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
173,Port-Gentil,GA,80.56,scattered clouds,-0.7193,8.7815,Fengshui Residence
174,Kavieng,PG,82.13,clear sky,-2.5744,150.7967,Nusa Island Retreat
176,Bubaque,GW,79.79,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
177,San Angelo,US,78.58,clear sky,31.4638,-100.437,"Motel 6 San Angelo, TX"
180,Loiza,PR,87.8,broken clouds,18.4313,-65.8802,Vacation Realty
181,Wajir,KE,91.36,few clouds,1.7471,40.0573,Mahatallah Hotel
183,Sao Filipe,CV,80.37,light rain,14.8961,-24.4956,Hotel Xaguate
188,Chifeng,CN,70.09,few clouds,42.2683,118.9636,Junyu Tiancheng Hotel
189,La Rioja,ES,80.38,few clouds,42.25,-2.5,Casa Concejos
190,Alugan,PH,80.53,overcast clouds,12.2188,125.4808,JM Lodge
194,Souillac,MU,71.98,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
195,Bengkulu,ID,76.71,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
197,Mahajanga,MG,82.42,few clouds,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
199,Itarema,BR,87.96,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
201,Ambilobe,MG,73.9,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
202,Bethel,US,79.16,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
204,Williston,US,70.32,clear sky,48.147,-103.618,Hampton Inn & Suites Williston
206,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Pirineos
208,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
209,Sambava,MG,71.58,broken clouds,-14.2667,50.1667,Melrose
210,Menongue,AO,88.7,few clouds,-14.6585,17.691,Ritz Lauca
212,Bambous Virieux,MU,71.85,light rain,-20.3428,57.7575,Casa Tia Villa
217,San Patricio,US,80.46,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
221,Umm Lajj,SA,86.83,clear sky,25.0213,37.2685,Moon light Furnished Units
222,Shenjiamen,CN,80.06,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
225,Porto Novo,BJ,78.62,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
226,Ushtobe,KZ,76.84,clear sky,45.2514,77.9838,"Gostinitsa ""Diyar"""
227,Brigantine,US,84.2,clear sky,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
228,Bud,US,74.05,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
230,Bandarbeyla,SO,78.04,clear sky,9.4942,50.8122,JABIR HOTEL
232,Champerico,GT,81.14,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
233,Samarai,PG,80.56,scattered clouds,-10.6167,150.6667,Nuli Sapi
237,Tikapur,NP,80.22,scattered clouds,28.5,81.1333,BANANA AGRO RESORT
238,Morondava,MG,75.67,clear sky,-20.2833,44.2833,La Case Bambou
239,Bridgewater,CA,73.67,broken clouds,44.3835,-64.5155,Comfort Inn
240,Kahului,US,80.83,clear sky,20.8947,-156.47,Maui Seaside Hotel
242,Mahebourg,MU,71.89,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
244,Maragogi,BR,78.4,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
246,Carlisle,US,82.99,overcast clouds,40.2015,-77.1889,Fairfield Inn & Suites by Marriott Carlisle
249,Jiaonan,CN,71.56,overcast clouds,35.8786,119.9753,Vienna Hotel Qingdao Huangdao
250,Shimoda,JP,76.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
251,Bereda,ES,74.14,overcast clouds,43.2686,-7.5406,Pazo de Verdes
253,Dharchula,IN,70.63,broken clouds,29.85,80.5333,Mahara Hotel
256,Pontivy,FR,73.98,broken clouds,48.0,-3.0,Frairie du Divit - Chambres d'hôtes à Pontivy dans le Morbihan (small hotel near Pontivy)
258,Saint George,US,85.78,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
260,Weligama,LK,77.14,broken clouds,5.9667,80.4167,Weligama Bay Resort
262,Bellinzona,CH,83.61,few clouds,46.1928,9.017,Albergo-Ristorante Croce Federale
264,Pemangkat,ID,76.48,moderate rain,1.1667,108.9667,Hotel Duyung Permai 2
267,Bouna,CI,81.59,moderate rain,9.2667,-3.0,Hôtel lababa
268,Padang,ID,75.25,light rain,-0.9492,100.3543,Mercure Padang
269,Luce,FR,85.55,overcast clouds,48.4369,1.4636,Hotel & Spa Le Grand Monarque Chartres
270,Jieshi,CN,82.11,overcast clouds,22.8134,115.8257,Yuehai Hotel
272,Utraula,IN,86.68,scattered clouds,27.3167,82.4167,Taj Hotel and Lodge
273,Coldwater,US,70.03,mist,41.9403,-85.0005,Coldwater Inn & Suites
276,Chizhou,CN,74.8,scattered clouds,30.6578,117.4831,Home Inn Chizhou Qiupu West Road Xiushanmen Square
277,Margate,GB,76.87,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
278,Naze,JP,81.52,moderate rain,28.3667,129.4833,Shishime Hotel
281,Natchitoches,US,76.05,overcast clouds,31.7668,-93.1335,Super 8 by Wyndham Natchitoches
284,Saint-Joseph,RE,70.18,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
287,Le Mans,FR,85.93,clear sky,48.0,0.2,ibis Styles Le Mans Centre Gare
288,Malanje,AO,85.37,broken clouds,-9.5402,16.341,Hotel Ginga
291,Lafiagi,NG,84.36,light rain,8.8667,5.4167,Bus group international
296,Monroe,US,71.28,light intensity drizzle,43.1501,-77.6831,Rodeway Inn Rochester Airport
297,Weida,DE,81.19,overcast clouds,50.7667,12.0667,"Ferienwohnung ""Haus Martha Weida"""
298,Jiuquan,CN,70.63,scattered clouds,39.7432,98.5174,Jiuquan Hotel
301,Granadilla De Abona,ES,73.04,broken clouds,28.1188,-16.576,Hotel Rural Senderos De Abona
303,Kotra,IN,89.2,broken clouds,25.8167,79.3167,Rathaur Samaj Dharmsala
304,Cabo San Lucas,MX,83.52,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
307,Santa Cruz,BO,75.25,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
309,Ixtapa,MX,85.23,overcast clouds,20.7,-105.2,hotel la terminal
310,Kinarut,MY,75.22,scattered clouds,5.8231,116.0466,Langkah Syabas Beach Resort
314,Lubango,AO,77.05,clear sky,-14.9172,13.4925,Hotel Serra da Chela
315,San Policarpo,PH,80.91,overcast clouds,12.1791,125.5072,Agapita M. Nicart
321,Wenling,CN,78.85,moderate rain,28.3669,121.36,Hanting Express Wenling Wanchang North Road
324,Aalst,BE,83.41,overcast clouds,50.9433,4.0735,Keizershof Hotel
326,Asheville,US,74.1,mist,35.6009,-82.554,Four Points by Sheraton Asheville Downtown
328,Port Blair,IN,78.84,drizzle,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
330,Pampa,US,75.24,clear sky,35.5362,-100.9599,"Holiday Inn Express & Suites Pampa, an IHG Hotel"
331,Lata,PT,80.49,scattered clouds,40.1629,-8.3327,Casa Maquia
332,Bagepalli,IN,81.61,overcast clouds,13.7847,77.7931,Srinivasa Lodge
333,Shiyan,CN,71.85,overcast clouds,32.6475,110.7781,Fenghuang Garden Holiday Hotel
334,Halifax,CA,71.46,overcast clouds,44.6453,-63.5724,Hotel Halifax
337,Baker City,US,70.65,clear sky,44.7749,-117.8344,Bridge Street Inn
339,Kailua,US,77.02,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
340,Quixada,BR,93.18,scattered clouds,-4.9714,-39.0153,Hotel Vale das Pedras
341,Akdagmadeni,TR,73.99,scattered clouds,39.6603,35.8836,Hanedan Otel
342,Sola,VU,80.08,overcast clouds,-13.8833,167.55,Leumerus Bungalows
343,Malpe,IN,81.7,overcast clouds,13.35,74.7167,Hotel Sri Krishna Residency
345,Seminole,US,89.2,few clouds,28.7086,-81.2081,Ono Hot Dog Cart and Catering Lemonade and Shaved Hawaiian Ice
347,Daru,PG,77.76,overcast clouds,-9.0763,143.2092,Daru Lodge
348,Clarksburg,US,82.51,clear sky,39.2807,-80.3445,Greenbrier Motel & Restaurant
352,Nobres,BR,88.61,broken clouds,-14.7203,-56.3275,Hotel Portal Nobres
356,Xuddur,SO,84.42,overcast clouds,4.1213,43.8894,Banjanay Hotel
359,Jishou,CN,72.95,scattered clouds,28.3167,109.7167,7 Days Inn
361,Pauini,BR,91.85,scattered clouds,-7.7136,-66.9764,Casa do Kiwliks
362,Kathmandu,NP,73.62,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
363,Kindu,CD,81.21,overcast clouds,-2.95,25.95,Résidence Okanda
